index	label	sentence
2138	1	amount: 0.99 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.3 in_out: 1 2-gram: 16506 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.5 in_out: 0 2-gram: 5098 3-gram: 21604 4-gram: 0 5-gram: 0  amount: 0.46446998 in_out: 0 2-gram: 78401 3-gram: 83499 4-gram: 100005 5-gram: 0  amount: 1.0 in_out: 0 2-gram: 387093 3-gram: 465494 4-gram: 470592 5-gram: 487098  amount: 0.689517 in_out: 0 2-gram: 8735 3-gram: 395828 4-gram: 474229 5-gram: 479327  amount: 0.34 in_out: 1 2-gram: 358 3-gram: 9093 4-gram: 396186 5-gram: 474587  amount: 0.5 in_out: 0 2-gram: 3973 3-gram: 4331 4-gram: 13066 5-gram: 400159  amount: 3.50253797 in_out: 1 2-gram: 183496 3-gram: 187469 4-gram: 187827 5-gram: 196562.
60256	1	amount: 0.80182207 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.5 in_out: 0 2-gram: 2857 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.03250394077234948 in_out: 0 2-gram: 272 3-gram: 3129 4-gram: 0 5-gram: 0  amount: 0.50518319 in_out: 0 2-gram: 493 3-gram: 765 4-gram: 3622 5-gram: 0  amount: 0.8 in_out: 0 2-gram: 6695 3-gram: 7188 4-gram: 7460 5-gram: 10317  amount: 0.5 in_out: 0 2-gram: 7231 3-gram: 13926 4-gram: 14419 5-gram: 14691  amount: 0.14 in_out: 0 2-gram: 1321 3-gram: 8552 4-gram: 15247 5-gram: 15740  amount: 0.035391 in_out: 0 2-gram: 9710 3-gram: 11031 4-gram: 18262 5-gram: 24957  amount: 4.50587031 in_out: 0 2-gram: 4941 3-gram: 14651 4-gram: 15972 5-gram: 23203  amount: 0.06173857 in_out: 0 2-gram: 3598 3-gram: 8539 4-gram: 18249 5-gram: 19570  amount: 0.6957126706670145 in_out: 0 2-gram: 7745 3-gram: 11343 4-gram: 16284 5-gram: 25994  amount: 0.5 in_out: 0 2-gram: 1170 3-gram: 8915 4-gram: 12513 5-gram: 17454  amount: 0.5 in_out: 0 2-gram: 1082 3-gram: 2252 4-gram: 9997 5-gram: 13595  amount: 6.713586043007013 in_out: 0 2-gram: 680 3-gram: 1762 4-gram: 2932 5-gram: 10677  amount: 0.5 in_out: 0 2-gram: 952 3-gram: 1632 4-gram: 2714 5-gram: 3884  amount: 0.5 in_out: 0 2-gram: 559 3-gram: 1511 4-gram: 2191 5-gram: 3273  amount: 2.0 in_out: 0 2-gram: 2724 3-gram: 3283 4-gram: 4235 5-gram: 4915  amount: 3.0 in_out: 0 2-gram: 438 3-gram: 3162 4-gram: 3721 5-gram: 4673  amount: 0.5 in_out: 0 2-gram: 6925 3-gram: 7363 4-gram: 10087 5-gram: 10646  amount: 0.29093485013091647 in_out: 0 2-gram: 665 3-gram: 7590 4-gram: 8028 5-gram: 10752  amount: 0.5668035062498216 in_out: 0 2-gram: 4481 3-gram: 5146 4-gram: 12071 5-gram: 12509  amount: 0.9659861 in_out: 0 2-gram: 5589 3-gram: 10070 4-gram: 10735 5-gram: 17660  amount: 1.2991764 in_out: 0 2-gram: 112024 3-gram: 117613 4-gram: 122094 5-gram: 122759  amount: 25.913847650827115 in_out: 1 2-gram: 12535993 3-gram: 12648017 4-gram: 12653606 5-gram: 12658087.
102308	0	amount: 0.0003 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 34080 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 61494 3-gram: 95574 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 31125 3-gram: 92619 4-gram: 126699 5-gram: 0.
135791	0	amount: 0.02679004822183534 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 260 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.022697890731972332 in_out: 1 2-gram: 314 3-gram: 574 4-gram: 0 5-gram: 0.
116042	0	amount: 0.55 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.5 in_out: 1 2-gram: 408 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.012555669623403768 in_out: 1 2-gram: 9640971 3-gram: 9641379 4-gram: 0 5-gram: 0  amount: 0.03405101335508755 in_out: 1 2-gram: 11020365 3-gram: 20661336 4-gram: 20661744 5-gram: 0.
54110	1	amount: 18.0 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 2.6677564189645415 in_out: 0 2-gram: 2037 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.68 in_out: 0 2-gram: 4180 3-gram: 6217 4-gram: 0 5-gram: 0  amount: 21.3 in_out: 1 2-gram: 1475 3-gram: 5655 4-gram: 7692 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 40853 3-gram: 42328 4-gram: 46508 5-gram: 48545  amount: 0.0 in_out: 1 2-gram: 202634 3-gram: 243487 4-gram: 244962 5-gram: 249142  amount: 0.1 in_out: 0 2-gram: 10627883 3-gram: 10830517 4-gram: 10871370 5-gram: 10872845  amount: 0.0 in_out: 1 2-gram: 266 3-gram: 10628149 4-gram: 10830783 5-gram: 10871636  amount: 0.0 in_out: 1 2-gram: 17 3-gram: 283 4-gram: 10628166 5-gram: 10830800  amount: 0.0 in_out: 1 2-gram: 45 3-gram: 62 4-gram: 328 5-gram: 10628211  amount: 0.0 in_out: 1 2-gram: 0 3-gram: 45 4-gram: 62 5-gram: 328  amount: 0.0 in_out: 1 2-gram: 501 3-gram: 501 4-gram: 546 5-gram: 563  amount: 0.0 in_out: 1 2-gram: 0 3-gram: 501 4-gram: 501 5-gram: 546  amount: 1.6 in_out: 1 2-gram: 72378 3-gram: 72378 4-gram: 72879 5-gram: 72879.
62423	1	amount: 1.96191 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 1.96067919 in_out: 1 2-gram: 1739 3-gram: 0 4-gram: 0 5-gram: 0  amount: 10.17669238 in_out: 0 2-gram: 2548980 3-gram: 2550719 4-gram: 0 5-gram: 0  amount: 10.174403380000001 in_out: 1 2-gram: 1102 3-gram: 2550082 4-gram: 2551821 5-gram: 0  amount: 17.73695899 in_out: 0 2-gram: 387933 3-gram: 389035 4-gram: 2938015 5-gram: 2939754  amount: 17.73582499 in_out: 1 2-gram: 1072 3-gram: 389005 4-gram: 390107 5-gram: 2939087  amount: 4.1677896 in_out: 0 2-gram: 760346 3-gram: 761418 4-gram: 1149351 5-gram: 1150453  amount: 4.1666136 in_out: 1 2-gram: 1530 3-gram: 761876 4-gram: 762948 5-gram: 1150881  amount: 17.35014728 in_out: 0 2-gram: 365598 3-gram: 367128 4-gram: 1127474 5-gram: 1128546  amount: 29.461598706416076 in_out: 1 2-gram: 1634 3-gram: 367232 4-gram: 368762 5-gram: 1129108  amount: 3.23647542 in_out: 0 2-gram: 180200 3-gram: 181834 4-gram: 547432 5-gram: 548962  amount: 8.87872657 in_out: 0 2-gram: 123180 3-gram: 303380 4-gram: 305014 5-gram: 670612  amount: 500.0 in_out: 0 2-gram: 887980 3-gram: 1011160 4-gram: 1191360 5-gram: 1192994  amount: 499.99874 in_out: 1 2-gram: 1295 3-gram: 889275 4-gram: 1012455 5-gram: 1192655.
116936	0	amount: 1676.9337720267672 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 1324.0662279732328 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 7.0 in_out: 1 2-gram: 96 3-gram: 96 4-gram: 0 5-gram: 0  amount: 2878.6094665043925 in_out: 1 2-gram: 170 3-gram: 266 4-gram: 266 5-gram: 0  amount: 115.38927349560777 in_out: 1 2-gram: 0 3-gram: 170 4-gram: 266 5-gram: 266.
101930	0	amount: 0.021 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 3230448 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.19 in_out: 0 2-gram: 572390 3-gram: 3802838 4-gram: 0 5-gram: 0  amount: 13.1 in_out: 0 2-gram: 1867108 3-gram: 2439498 4-gram: 5669946 5-gram: 0  amount: 13.26945963 in_out: 1 2-gram: 1335 3-gram: 1868443 4-gram: 2440833 5-gram: 5671281  amount: 0.09 in_out: 0 2-gram: 240807 3-gram: 242142 4-gram: 2109250 5-gram: 2681640  amount: 0.075 in_out: 0 2-gram: 3003218 3-gram: 3244025 4-gram: 3245360 5-gram: 5112468  amount: 0.0 in_out: 1 2-gram: 593744 3-gram: 3596962 4-gram: 3837769 5-gram: 3839104  amount: 0.1 in_out: 0 2-gram: 612214 3-gram: 1205958 4-gram: 4209176 5-gram: 4449983  amount: 11.0 in_out: 0 2-gram: 652283 3-gram: 1264497 4-gram: 1858241 5-gram: 4861459  amount: 11.23247485 in_out: 1 2-gram: 867 3-gram: 653150 4-gram: 1265364 5-gram: 1859108  amount: 0.34613708 in_out: 0 2-gram: 1962549 3-gram: 1963416 4-gram: 2615699 5-gram: 3227913  amount: 0.178 in_out: 0 2-gram: 766056 3-gram: 2728605 4-gram: 2729472 5-gram: 3381755  amount: 2.0 in_out: 0 2-gram: 9942843 3-gram: 10708899 4-gram: 12671448 5-gram: 12672315  amount: 2.52623408 in_out: 1 2-gram: 2995224 3-gram: 12938067 4-gram: 13704123 5-gram: 15666672.
116637	0	amount: 0.995 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.99 in_out: 1 2-gram: 1357 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.97 in_out: 0 2-gram: 1040623 3-gram: 1041980 4-gram: 0 5-gram: 0  amount: 0.96 in_out: 1 2-gram: 6795 3-gram: 1047418 4-gram: 1048775 5-gram: 0.
