index	label	sentence
2027694	0	amount: 0.0 in_out: 1 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0.
1830935	0	amount: 0.0 in_out: 1 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0.
2368842	0	amount: 0.0 in_out: 1 2-gram: 400 3-gram: 859 4-gram: 3749 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 1216187 3-gram: 2422188 4-gram: 2423111 5-gram: 2423511  amount: 0.0 in_out: 1 2-gram: 1206001 3-gram: 1206924 4-gram: 1207324 5-gram: 1207783  amount: 0.0 in_out: 1 2-gram: 923 3-gram: 1323 4-gram: 1782 5-gram: 4672  amount: 0.0 in_out: 1 2-gram: 260 3-gram: 688426 4-gram: 1904613 5-gram: 3110614  amount: 0.0 in_out: 1 2-gram: 2890 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 688166 3-gram: 1904353 4-gram: 3110354 5-gram: 3111277  amount: 0.0 in_out: 1 2-gram: 459 3-gram: 3349 4-gram: 0 5-gram: 0.
2100338	0	amount: 0.0 in_out: 1 2-gram: 190 3-gram: 2618015 4-gram: 8471093 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 676 3-gram: 966 4-gram: 1156 5-gram: 2618981  amount: 0.0 in_out: 1 2-gram: 290 3-gram: 480 4-gram: 2618305 5-gram: 8471383  amount: 0.0 in_out: 1 2-gram: 1337 3-gram: 2013 4-gram: 2303 5-gram: 2493  amount: 0.0 in_out: 1 2-gram: 5853078 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 2617825 3-gram: 8470903 4-gram: 0 5-gram: 0  amount: 0.55 in_out: 1 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0.
793006	0	amount: 0.0001 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0.
2120617	0	amount: 0.0 in_out: 1 2-gram: 105811 3-gram: 872992 4-gram: 1021972 5-gram: 1058846  amount: 0.0 in_out: 1 2-gram: 24256 3-gram: 31209 4-gram: 137020 5-gram: 904201  amount: 3.25 in_out: 1 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 767181 3-gram: 916161 4-gram: 953035 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 56192 3-gram: 121621 4-gram: 124644 5-gram: 148900  amount: 0.0 in_out: 1 2-gram: 148980 3-gram: 185854 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 3023 3-gram: 27279 4-gram: 34232 5-gram: 140043  amount: 0.0 in_out: 1 2-gram: 36874 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.0 in_out: 1 2-gram: 65429 3-gram: 68452 4-gram: 92708 5-gram: 99661  amount: 0.0 in_out: 1 2-gram: 6953 3-gram: 112764 4-gram: 879945 5-gram: 1028925.
532134	0	amount: 5.0 in_out: 0 2-gram: 69673 3-gram: 0 4-gram: 0 5-gram: 0  amount: 5.3 in_out: 0 2-gram: 1019 3-gram: 2044 4-gram: 241542 5-gram: 243129  amount: 5.2 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 5.3 in_out: 0 2-gram: 239498 3-gram: 241085 4-gram: 242142 5-gram: 311815  amount: 5.3 in_out: 0 2-gram: 38789 3-gram: 39808 4-gram: 40833 5-gram: 280331  amount: 5.0 in_out: 0 2-gram: 1057 3-gram: 70730 4-gram: 0 5-gram: 0  amount: 5.0 in_out: 0 2-gram: 1587 3-gram: 2644 4-gram: 72317 5-gram: 0  amount: 5.3 in_out: 0 2-gram: 1025 3-gram: 240523 4-gram: 242110 5-gram: 243167.
772058	1	amount: 15.0 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 14.999559 in_out: 1 2-gram: 59 3-gram: 0 4-gram: 0 5-gram: 0.
78438	1	amount: 0.04895575 in_out: 1 2-gram: 648 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.049979 in_out: 1 2-gram: 151 3-gram: 179832 4-gram: 180158 5-gram: 183891  amount: 2.5562081166547 in_out: 0 2-gram: 784885 3-gram: 786089 4-gram: 789809 5-gram: 790457  amount: 0.08965539 in_out: 1 2-gram: 140 3-gram: 221 4-gram: 86819 5-gram: 86998  amount: 0.000567 in_out: 1 2-gram: 6786391 3-gram: 6786600 4-gram: 6790887 5-gram: 6791200  amount: 0.8 in_out: 0 2-gram: 128668 3-gram: 128829 4-gram: 254203 5-gram: 254474  amount: 0.270873 in_out: 0 2-gram: 340031 3-gram: 340378 4-gram: 341537 5-gram: 341772  amount: 0.100758 in_out: 1 2-gram: 251 3-gram: 17582 4-gram: 17788 5-gram: 21149  amount: 0.00652739 in_out: 0 2-gram: 86598 3-gram: 86777 4-gram: 215445 5-gram: 215606  amount: 0.008936925 in_out: 1 2-gram: 209 3-gram: 4496 4-gram: 4809 5-gram: 5702  amount: 0.539979 in_out: 1 2-gram: 326 3-gram: 4059 4-gram: 4208 5-gram: 14832  amount: 0.20239837 in_out: 1 2-gram: 161 3-gram: 125535 4-gram: 125806 5-gram: 226505  amount: 0.03 in_out: 0 2-gram: 100699 3-gram: 100929 4-gram: 209372 5-gram: 209637  amount: 0.92285558 in_out: 1 2-gram: 1204 3-gram: 4924 4-gram: 5572 5-gram: 0  amount: 0.42367079 in_out: 0 2-gram: 893 3-gram: 1144 4-gram: 18475 5-gram: 18681  amount: 0.20241937 in_out: 0 2-gram: 125374 3-gram: 125645 4-gram: 226344 5-gram: 226574  amount: 0.029979 in_out: 1 2-gram: 271 3-gram: 100970 4-gram: 101200 5-gram: 209643  amount: 0.008957925 in_out: 0 2-gram: 4287 3-gram: 4600 4-gram: 5493 5-gram: 5744  amount: 1.999979 in_out: 0 2-gram: 3361 3-gram: 3501 4-gram: 3582 5-gram: 90180  amount: 0.799979 in_out: 1 2-gram: 265 3-gram: 11567 4-gram: 11718 5-gram: 191399  amount: 0.07800793 in_out: 0 2-gram: 108443 3-gram: 108708 4-gram: 120010 5-gram: 120161  amount: 0.42364979 in_out: 1 2-gram: 313 3-gram: 1206 4-gram: 1457 5-gram: 18788  amount: 0.92293958 in_out: 0 2-gram: 3720 3-gram: 4368 4-gram: 0 5-gram: 0  amount: 0.0500363358 in_out: 1 2-gram: 347 3-gram: 1506 4-gram: 1741 5-gram: 786626  amount: 0.083149 in_out: 0 2-gram: 81 3-gram: 86679 4-gram: 86858 5-gram: 215526  amount: 0.270831 in_out: 1 2-gram: 223 3-gram: 340254 4-gram: 340601 5-gram: 341760  amount: 0.8 in_out: 0 2-gram: 11302 3-gram: 11453 4-gram: 191134 5-gram: 191460  amount: 0.799979 in_out: 1 2-gram: 179 3-gram: 128847 4-gram: 129008 5-gram: 254382  amount: 0.05000575 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 0.03901801 in_out: 0 2-gram: 10624 3-gram: 10847 4-gram: 350878 5-gram: 351225  amount: 0.03899701 in_out: 1 2-gram: 149 3-gram: 10773 4-gram: 10996 5-gram: 351027  amount: 0.05 in_out: 0 2-gram: 179681 3-gram: 180007 4-gram: 183740 5-gram: 183889  amount: 2.5561241166547 in_out: 1 2-gram: 235 3-gram: 785120 4-gram: 786324 5-gram: 790044  amount: 1.999958 in_out: 1 2-gram: 206 3-gram: 3567 4-gram: 3707 5-gram: 3788  amount: 0.100779 in_out: 0 2-gram: 17331 3-gram: 17537 4-gram: 20898 5-gram: 21038  amount: 0.07798693 in_out: 1 2-gram: 230 3-gram: 108673 4-gram: 108938 5-gram: 120240  amount: 0.0500573358 in_out: 0 2-gram: 1159 3-gram: 1394 4-gram: 786279 5-gram: 787483  amount: 0.54 in_out: 0 2-gram: 3733 3-gram: 3882 4-gram: 14506 5-gram: 14729.
395392	1	amount: 6.6 in_out: 0 2-gram: 0 3-gram: 0 4-gram: 0 5-gram: 0  amount: 6.59916 in_out: 1 2-gram: 9013 3-gram: 0 4-gram: 0 5-gram: 0.
